Title,Author,Format-Year,Page
Real-World Spanish: The Conversation Learning System,Camila Vega Rivera,"eAudiobook, 2025",1
Learning Spanish-beginner I,"Iris Acevedo A.; Spanishonline, Costarica","eBook, 2025 — Spanish",1
A Beginner's Guide to Learning Spanish,"Miller, Jackson","eAudiobook, 2024",1
100 Facts About Learning Spanish,Science-Based Language Learning Lab,"eAudiobook, 2024",1
100 Facts About Learning Spanish,Science-Based Language Learning Lab,"eBook, 2024",1
No Tears Spanish Grammar: Easy Learning: Essential Rules for Beginners,"Bennett, Olivia","eBook, 2024",1
The Ultimate Learning Spanish Blueprint - 10 Essential Steps,"Ramirez, Andres","eBook, 2024",1
Learning Spanish for Adults Beginner,"World, Spain","eBook, 2023",1
Learning to Read in English and Spanish Made Easy,"Navarijo, Susie G.","eBook, 2022",1
Learn Spanish Like a Native for Beginners - Level 1: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,"eBook, 2021",1
Spanish for Beginners: A Comprehensive Guide for Learning the Spanish Language Fast,Language Equipped Travelers,"eBook, 2021",1
"Spanish: Beginner's Step by Step Course to Quickly Learning the Spanish Language, Spanish Grammar &","Michaels, Steven J.","eBook, 2021",1
Learn Spanish Like a Native for Beginners - Level 2: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,"eBook, 2021",1
I'm Learning Spanish,"Gardner, James M.","eAudiobook, 2020 — Chinese",1
I am learning Spanish,"Gardner, James M.","eAudiobook, 2018",1
The Best Spanish Learning Games for Children,"Professor, Baby","eBook, 2017",1
Spanish Easy Learning Complete Course,"Carmen García del Río; Fitzsimons, Ronan","eAudiobook, 2016",1
Easy Learning Spanish Verbs,Various Authors,"eBook, 2016",1
Easy Learning Spanish Vocabulary,"Dictionaries, Collins","eBook, 2016 — Spanish",1
Learning the Local Language: Your Guide to Real World Spanish,"Romey, Jared","eBook, 2013",1
Advanced Work with Commands,unknown author,"Streaming Video, 2017",2
Expressing Doubt with the Subjunctive,unknown author,"Streaming Video, 2017",2
Health and Well-Being in Spanish,unknown author,"Streaming Video, 2017",2
Essentials for Success with Spanish,unknown author,"Streaming Video, 2017",2
Spanish Pronunciation and Reciprocal Verbs,unknown author,"Streaming Video, 2017",2
The Present Perfect Tense,unknown author,"Streaming Video, 2017",2
Mastering the Uses of Estar and Ser,unknown author,"Streaming Video, 2017",2
Expressing Possession in Spanish,unknown author,"Streaming Video, 2017",2
Cognates and False Cognates,unknown author,"Streaming Video, 2017",2
Introduction to the Subjunctive Mood,unknown author,"Streaming Video, 2017",2
Introduction to the Imperfect Tense,unknown author,"Streaming Video, 2017",2
Relative Adverbs and Relative Pronouns,unknown author,"Streaming Video, 2017",2
Uses of the Infinitive,unknown author,"Streaming Video, 2017",2
Indirect Objects and Verbs like Gustar,unknown author,"Streaming Video, 2017",2
The Conditional Tense,unknown author,"Streaming Video, 2017",2
When to Use the Imperfect and the Preterite,unknown author,"Streaming Video, 2017",2
Advanced Work with the Preterite Tense,unknown author,"Streaming Video, 2017",2
Expressing Emotion with the Subjunctive,unknown author,"Streaming Video, 2017",2
Past Participles as Adjectives and Nouns,unknown author,"Streaming Video, 2017",2
Using Se to Talk about Unplanned Events,unknown author,"Streaming Video, 2017",2
How to Use Para and Por,unknown author,"Streaming Video, 2017",3
The Present Tense and Prepositions,unknown author,"Streaming Video, 2017",3
The Conditional Tense,unknown author,"Streaming Video, 2017",3
Indirect Objects and Verbs like Gustar,unknown author,"Streaming Video, 2017",3
Cognates and False Cognates,unknown author,"Streaming Video, 2017",3
Spanish Pronunciation and Reciprocal Verbs,unknown author,"Streaming Video, 2017",3
The Present Perfect Tense,unknown author,"Streaming Video, 2017",3
Introduction to the Subjunctive Mood,unknown author,"Streaming Video, 2017",3
Past Participles as Adjectives and Nouns,unknown author,"Streaming Video, 2017",3
Using Se to Talk about Unplanned Events,unknown author,"Streaming Video, 2017",3
Regular -er and -ir Verbs in the Present,unknown author,"Streaming Video, 2015",3
Double Object Pronouns,unknown author,"Streaming Video, 2015",3
Informal Commands,unknown author,"Streaming Video, 2015",3
Expressing Time in Spanish,unknown author,"Streaming Video, 2015",3
The Verb Ir in the Present,unknown author,"Streaming Video, 2015",3
The Present Progressive,unknown author,"Streaming Video, 2015",3
Indefinite Articles and Numbers to 100,unknown author,"Streaming Video, 2015",3
Regular -ar Verbs in the Present,unknown author,"Streaming Video, 2015",3
The Verb Estar and Numbers over 100,unknown author,"Streaming Video, 2015",3
Regular -ar Verbs in the Preterite,unknown author,"Streaming Video, 2015",3
Indirect Object Pronouns,unknown author,"Streaming Video, 2015",4
The Verbs Saber and Conocer,unknown author,"Streaming Video, 2015",4
Direct Object Pronouns and Adverbs,unknown author,"Streaming Video, 2015",4
Subject Pronouns and the Verb Ser,unknown author,"Streaming Video, 2015",4
Definite Articles and Nouns,unknown author,"Streaming Video, 2015",4
"Affirmatives, Negatives, and Demonstratives",unknown author,"Streaming Video, 2015",4
Next Steps in Improving Your Spanish,unknown author,"Streaming Video, 2015",4
Regular -er and -ir Verbs in the Present,unknown author,"Streaming Video, 2015",4
Expressions Using the Verb Tener,unknown author,"Streaming Video, 2015",4
Double Object Pronouns,unknown author,"Streaming Video, 2015",4
Informal Commands,unknown author,"Streaming Video, 2015",4
More Affirmative and Negative Expressions,unknown author,"Streaming Video, 2015",4
Talking about the Past: Acabar and Hace,unknown author,"Streaming Video, 2015",4
Verbs like Hacer and Interrogative Words,unknown author,"Streaming Video, 2015",4
Talking about the Past: ¿Desde Cuándo…?,unknown author,"Streaming Video, 2015",4
Expressing Time in Spanish,unknown author,"Streaming Video, 2015",4
The Verb Ir in the Present,unknown author,"Streaming Video, 2015",4
Regular -er and -ir Verbs in the Preterite,unknown author,"Streaming Video, 2015",4
"Ver, Dar, and Other Irregular Verbs",unknown author,"Streaming Video, 2015",4
Introduction to the Spanish Language,unknown author,"Streaming Video, 2015",4
Learn Spanish For Beginners In Your Car,Language Library,"eBook, 2021",5
Learn Intermediate Spanish In 30 Days,Language Library,"eBook, 2021",5
Learn Spanish For Beginners,Language Library,"eBook, 2021",5
Traveling in Spanish,"Gardner, James M.","eAudiobook, 2020 — Chinese",5
"Learn Latin American Spanish for Beginners, Volume 1","Academy, Language","eAudiobook, 2020",5
Learn Spanish,"Alfaro, Adrian","eBook, 2020",5
Diversión en serio: Cómo el juego guiado amplía el aprendizaje de los niños,"Masterson, Marie L.","eBook, 2019 — Spanish",5
Learning Agility,"Hallenbeck, George","eBook, 2018 — Spanish",5
Spanish Basics for Beginners,"Frobose, Mark","eAudiobook, 2015",5
Real Spanish 101,"Frobose, Mark","eAudiobook, 2015",5
Spanish Basics Intermediate Level,"Frobose, Mark","eAudiobook, 2015",5
Real Spanish 102,"Frobose, Mark","eAudiobook, 2015",5
Cuando tu hijo tiene dificultades de aprendizaje,"Fisher, Gary L.","Book, 2004 — Spanish",5
Muse of Fire,unknown author,"Streaming Video, 2015",5
Kids Learn Spanish Songs,Nashville Kids Sound (Musical group),"Streaming Music, 2006 — Spanish",5
Spanish,Nashville Kids Sound (Musical group),"Streaming Music, 1994 — Spanish",5
Pocoyo,unknown author,"DVD, 2013",5
Aprendiendo a quererte (Learning to Love You),"Westwood, Jana","eAudiobook, 2024 — Spanish",5
Aprender a ser padres (Learning to Become Parents),María Del Carmen Míguez,"eAudiobook, 2022 — Spanish",5
Educación a distancia (Distance Learning),"Murray, Julie","eBook, 2020 — Spanish",5
